[*] '/home/tony/Advanced-Programming-in-the-UNIX-Environment/Lab3/gotoku'
    Arch:     amd64-64-little
    RELRO:    Full RELRO
    Stack:    No canary found
    NX:       NX enabled
    PIE:      PIE enabled
main = 0x16c89
Func         GOT Offset Symbol Offset
gop_213      1d4d0      15580     
gop_214      1d9c0      15f60     
gop_215      1de78      168d0     
gop_216      1bda0      12720     
gop_217      1c248      13070     
gop_218      1c6d0      13980     
gop_219      1cb90      14300     
gop_220      1d2f8      151d0     
gop_221      1d7e0      15ba0     
gop_222      1dce8      165b0     
gop_223      1bbf0      123c0     
gop_224      1c0b8      12d50     
gop_225      1c5a0      13720     
gop_226      1ca38      14050     
gop_227      1ced0      14980     
gop_228      1d380      152e0     
gop_229      1d890      15d3c     
gop_230      1bac0      12160     
gop_231      1bf88      12af0     
gop_232      1c408      133f0     
gop_233      1c8a0      13d3c     
gop_234      1cd50      14680     
gop_235      1d1c0      14f60     
gop_236      1d760      15aa0     
gop_237      1dc18      16410     
gop_238      1bb18      12210     
gop_239      1c000      12be0     
gop_240      1c798      13b10     
gop_241      1cc40      14460     
gop_242      1d0b0      14d40     
gop_243      1d578      156d0     
gop_244      1da88      160f0     
gop_245      1df28      16a30     
gop_246      1be10      12800     
gop_247      1c388      132f0     
gop_248      1c800      13be0     
gop_249      1cc98      14510     
gop_250      1d4c0      15560     
gop_251      1d968      15eb0     
gop_252      1de28      16830     
gop_253      1bd20      12620     
gop_254      1c1b8      12f50     
gop_255      1c660      138a0     
gop_256      1cae0      141a0     
gop_257      1cf70      14ac0     
gop_258      1d4c8      15570     
gop_259      1d9b8      15f50     
gop_260      1c3e8      133b0     
gop_261      1c8b8      13d50     
gop_262      1cd68      146b0     
gop_263      1d1e0      14fa0     
gop_264      1d6f0      159c0     
gop_265      1dbd0      16380     
gop_266      1bac8      12170     
gop_267      1bf80      12ae0     
gop_268      1c470      134c0     
gop_269      1c910      13e00     
gop_270      1daa0      16120     
gop_271      1df60      16aa0     
gop_272      1be48      12870     
gop_273      1c2e8      131b0     
gop_274      1c7b0      13b40     
gop_275      1cc38      14450     
gop_276      1d0a8      14d30     
gop_277      1d600      157e0     
gop_278      1db00      161e0     
gop_279      1df40      16a60     
gop_280      1cb38      14250     
gop_281      1cfb8      14b50     
gop_282      1d468      154b0     
gop_283      1d978      15ed0     
gop_284      1de20      16820     
gop_285      1bd28      12630     
gop_286      1c218      13010     
gop_287      1c6c0      13960     
gop_288      1caf0      141c0     
gop_289      1cfe8      14bb0     
gop_290      1bc00      123e0     
gop_291      1c0c8      12d70     
gop_292      1c550      13680     
gop_293      1c9f0      13fc0     
gop_294      1ce70      148c0     
gop_295      1d368      152b0     
gop_296      1d868      15cb0     
gop_297      1dcb8      16550     
gop_298      1bc28      12430     
gop_299      1c120      12e20     
gop_300      1d530      15640     
gop_301      1d0f0      14dc0     
gop_302      1cc50      14480     
gop_303      1c7a8      13b30     
gop_304      1c2f8      131d0     
gop_305      1be68      128b0     
gop_306      1df78      16ad0     
gop_307      1dab0      16140     
gop_308      1d5b8      15750     
gop_309      1d040      14c60     
gop_310      1d198      14f10     
gop_311      1cd08      145f0     
gop_312      1c878      13cd0     
gop_313      1c3e0      133a0     
gop_314      1bfc0      12b60     
gop_315      1bad8      12190     
gop_316      1dbc8      16370     
gop_317      1d700      159e0     
gop_318      1d1f0      14fc0     
gop_319      1cd80      146e0     
gop_320      1bba8      12330     
gop_321      1dc80      164e0     
gop_322      1d7b0      15b40     
gop_323      1d328      15230     
gop_324      1ce80      148e0     
gop_325      1c9f8      13fd0     
gop_326      1c558      13690     
gop_327      1c0d8      12d90     
gop_328      1bc10      12400     
gop_329      1dd00      165e0     
gop_330      1d438      15450     
gop_331      1cf40      14a60     
gop_332      1caa8      14130     
gop_333      1c600      137e0     
gop_334      1c178      12ed0     
gop_335      1bd40      12660     
gop_336      1de30      16840     
gop_337      1d970      15ec0     
gop_338      1d470      154c0     
gop_339      1cfc8      14b70     
gop_340      1c758      13a90     
gop_341      1c2c8      13170     
gop_342      1bdd8      12790     
gop_343      1ded8      16990     
gop_344      1da38      16050     
gop_345      1d528      15630     
gop_346      1d0e8      14db0     
gop_347      1cc48      14470     
gop_348      1c7a0      13b20     
gop_349      1c2f0      131c0     
gop_350      1ba60      120a0     
gop_351      1db80      162e0     
gop_352      1d6b8      15950     
gop_353      1d190      14f00     
gop_354      1cd00      145e0     
gop_355      1c870      13cc0     
gop_356      1c3d8      13390     
gop_357      1bfb8      12b50     
gop_358      1bad0      12180     
gop_359      1dbc0      16360     
gop_360      1d308      151f0     
gop_361      1ce28      14830     
gop_362      1c9a0      13f20     
gop_363      1c518      13610     
gop_364      1c088      12cf0     
gop_365      1bba0      12320     
gop_366      1dc78      164d0     
gop_367      1d7a8      15b30     
gop_368      1d320      15220     
gop_369      1ce78      148d0     
gop_370      1bb78      122d0     
gop_371      1dc90      16500     
gop_372      1d7c8      15b70     
gop_373      1d2b0      15140     
gop_374      1ce30      14840     
gop_375      1c9a8      13f30     
gop_376      1c500      135e0     
gop_377      1c098      12d10     
gop_378      1bbf8      123d0     
gop_379      1dcc8      16570     
gop_380      1cab0      14140     
gop_381      1c630      13840     
gop_382      1c198      12f10     
gop_383      1bcd8      12590     
gop_384      1ddd0      16780     
gop_385      1d928      15e30     
gop_386      1d440      15460     
gop_387      1cfb0      14b40     
gop_388      1cb08      141f0     
gop_389      1c608      137f0     
gop_390      1da68      160b0     
gop_391      1d560      156a0     
gop_392      1d070      14cc0     
gop_393      1cbe0      143a0     
gop_394      1c750      13a80     
gop_395      1c2c0      13160     
gop_396      1be40      12860     
gop_397      1df48      16a70     
gop_398      1da40      16060     
gop_399      1d588      156f0     
gop_400      1d4f8      155d0     
gop_401      1d9e8      15fb0     
gop_402      1cc08      143f0     
gop_403      1d080      14ce0     
gop_404      1c2b8      13150     
gop_405      1c768      13ab0     
gop_406      1def0      169c0     
gop_407      1be08      127f0     
gop_408      1d570      156c0     
gop_409      1da60      160a0     
gop_410      1c5b8      13750     
gop_411      1ddf0      167c0     
gop_412      1bce8      125b0     
gop_413      1d430      15440     
gop_414      1d938      15e50     
gop_415      1cac8      14170     
gop_416      1cf60      14aa0     
gop_417      1c1b0      12f40     
gop_418      1c628      13830     
gop_419      1dd60      166a0     
gop_420      1bb58      12290     
gop_421      1c068      12cb0     
gop_422      1d780      15ae0     
gop_423      1dc38      16450     
gop_424      1ce40      14860     
gop_425      1d2c0      15160     
gop_426      1c510      13600     
gop_427      1c9b8      13f50     
